link,headline,category,short_description
https://www.huffingtonpost.com/entry/minor-league-manager-puts-on-a-show_us_55b4f91ae4b0224d883285e9,Minor League Baseball Manager Puts On A Show After Ejection,COMEDY,James Gerken,2015-07-26
https://www.huffingtonpost.com/entry/subconcussive-hits-head-vision_us_573dc2dae4b0aee7b8e91684,Hits To The Head That Don't Cause Concussions Can Still Hurt You,SCIENCE,"Kathryn Doyle, Reuters",2016-05-19
https://www.huffpost.com/entry/nfl-player-panthers-stops-fight_n_62f749dde4b0ab35e0b34afc,Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans,ARTS & CULTURE,Ben Blanchet,2022-08-13
https://www.huffingtonpost.com/entry/should-my-child-play-foot_b_6330856.html,Should My Child Play Football?,DIVORCE,"Roger I. Abrams, ContributorRichardson Professor of Law, Northeastern University; Author",2014-12-30
https://www.huffingtonpost.com/entry/usa-gymnastics-board-resigns_us_5a6b9b3ee4b0ddb658c67238,Entire USA Gymnastics Board Resigns Amid Larry Nassar Fallout,SPORTS,Ryan Grenoble,2018-01-26
https://www.huffingtonpost.com/entry/matt-farrell-reunion-brother-video_us_58590240e4b0b3ddfd8e8a1d,Notre Dame's Matt Farrell Has Emotional Surprise Reunion With Brother Back From Afghanistan,COLLEGE,Lee Moran,2016-12-20
https://www.huffingtonpost.com/entry/rio-2016-sex-beach-tv-bbc_us_57b6d671e4b00d9c3a16dfc4,Amorous Couple Interrupts BBC's Live Olympic Coverage,WEDDINGS,Lee Moran,2016-08-19
https://www.huffingtonpost.com/entry/niles-paul-injury-tweets_us_55ce40f1e4b055a6dab05b84,NFL Player's Tweets About Gruesome Injury Remind Us That Life Is 'Cruel Sometimes',WOMEN,Justin Block,2015-08-14
https://www.huffingtonpost.com/entry/sonny-bill-williams-injury-video_us_57e50c3de4b0e80b1ba16ae5,Injured Sports Star Finds Ingenious Way To Keep Working Out,COLLEGE,Lee Moran,2016-09-23
https://www.huffingtonpost.com/entry/simone-biles-laurie-hernandez-rio-gymnastics-olympics_us_57b1fadae4b0718404122a11,This Old Photo Of Simone Biles And Laurie Hernandez Foresaw Olympic Greatness,LATINO VOICES,Minou Clark,2016-08-15
https://www.huffingtonpost.com/entry/peyton-manning-face-nice_us_56a5538be4b0404eb8f1ff25,Peyton Manning Made The Perfect Face Right Before He Got Sacked,SPORTS,Maxwell Strachan,2016-01-24
https://www.huffpost.com/entry/deshuan-watson-apologize-to-women-ive-impacted_n_62f6e154e4b0da517ef8ae9c,Cleveland Browns QB Deshaun Watson Apologizes ‘To All The Women I Have Impacted’,SPORTS,"Tom Withers, AP",2022-08-12
https://www.huffingtonpost.com/entry/clear-shoes-and-bags_us_5b9b85a3e4b03a1dcc784a1a,"Clear Shoes, Bags And Accessories That Would Put A Smile On Cinderella's Face (PHOTOS)",STYLE & BEAUTY,Christina Anderson,2012-04-09
https://www.huffingtonpost.com/entry/pumpkin-beauty-benefits_us_5b9d9890e4b03a1dcc89f6cc,5 Surprising Uses For Pumpkin (None Of Which Are Lattes),WELLNESS,Dana Oliver,2013-10-15
https://www.huffingtonpost.com/entry/leah-kelley_us_5b9db146e4b03a1dcc8b8fd3,'Plus-Size' Model Leah Kelley: We Need More Size 8 Models,STYLE,Rebecca Adams,2013-12-03
https://www.huffingtonpost.com/entry/elle-fanning-red-hair_us_5b9b837ae4b03a1dcc783332,Elle Fanning Debuts Red Hair! (PHOTOS),STYLE & BEAUTY,Jessica Misener,2012-03-29
https://www.huffpost.com/entry/indigenous-fashion-designers-brands_l_5f11d1f4c5b619afc400ea87,"23 Indigenous Fashion Brands: Clothing, Jewelry, Accessories And Shoes",STYLE & BEAUTY,Rohina Katoch Sehra,2020-07-27
https://www.huffingtonpost.com/entry/natalia-vodianova-half-marathon_us_5b9b6879e4b03a1dcc774f8a,"Natalia Vodianova Half-Marathon Requires Dreaded, Disgusting Powerade (VIDEO)",STYLE & BEAUTY,Ellie Krupnick,2012-03-05
https://www.huffingtonpost.com/entry/cameo-jewelry_us_5b9bc3c9e4b03a1dcc7a2c19,Cameo Jewelry: 7 Pieces That Don't Feel Fusty (PHOTOS),WEDDINGS,Christina Anderson,2012-06-05
https://www.huffingtonpost.com/entry/ashton-kutcher-colcci-ads_us_5b9b5f0fe4b03a1dcc7702be,Ashton Kutcher Colcci Ads Pair TV Star With Alessandra Ambrosio (PHOTOS),ENTERTAINMENT,Ellie Krupnick,2012-02-24
https://www.huffingtonpost.com/entry/pregnant-jessica-simpson-heels_us_5b9b8468e4b03a1dcc783c3e,Pregnant Jessica Simpson Gives Up Wearing Heels: 'I Tried But It Was Too Hard' (PHOTOS),STYLE & BEAUTY,Jessica Misener,2012-03-29
https://www.huffingtonpost.com/entry/only-connect_us_5b9cda5fe4b03a1dcc8270a2,Only Connect,RELIGION,"Suzanne Guillette, Contributor
Writer, teacher and author, 'Much to Your Chagrin: A Memoir of...",2013-02-26
https://www.huffingtonpost.com/entry/hm-rip-off_us_5b9db54be4b03a1dcc8bc9ed,H&M Pulls Kids Clothes After Ripoff Accusation,PARENTING,Ellie Krupnick,2013-12-10
https://www.huffingtonpost.com/entry/festive-fashion_us_5b9dbae1e4b03a1dcc8c20d7,Festive Fashion,TRAVEL,"Christi Guthrie, Contributor
Entrepreneur, Writer, Speaker, Dandelion Chaser",2013-12-19
https://www.huffingtonpost.com/entry/hanneli-mustaparta-style-monochromatic_us_5b9bd120e4b03a1dcc7a7b94,Hanneli Mustaparta Makes Monochromatic Look Easy,ARTS,Brooke Bobb,2012-06-09
https://www.huffingtonpost.com/entry/anna-wintour-marc-jacobs-matching-prada_us_5b9d1a14e4b03a1dcc84758b,Anna Wintour & Marc Jacobs' Matching Prada Style: Who Wore It Best? (PHOTOS),STYLE & BEAUTY,Lauren Leibowitz,2013-04-27
https://www.huffingtonpost.com/entry/lace-leather-and-all-thin_us_5b9dd663e4b03a1dcc8d9496,"Lace, Leather and All Things Love",STYLE,"Shoptiques.com, Contributor
Shoptiques.com lets you shop over 5,000 of the world's best bo...",2014-02-05
https://www.huffingtonpost.com/entry/the-five-best-places-to-c_us_5b9deaf4e4b03a1dcc8eb29d,The 5 Best Places to Celebrate St. Patrick's Day,TRAVEL,"Hopper, Contributor
Hopper",2014-03-10
https://www.huffingtonpost.com/entry/chinese-tourists-north-korea_us_5b9d67e8e4b03a1dcc87a45f,Chinese Tourists Upset North Koreans By Treating Children 'Like They're Feeding Ducks',THE WORLDPOST,Ryan Grenoble,2013-08-05
https://www.huffingtonpost.com/entry/the-top-5-hotels-to-distr_us_5b9b5501e4b03a1dcc76b1f9,5 Hotels With Distracting Amenities (PHOTOS),TRAVEL,"Oyster.com, Contributor
The Hotel Tell-All",2012-02-17
https://www.huffingtonpost.com/entry/airport-timelapse-video-swiss-airlines_us_5b9d6b34e4b03a1dcc87c8a7,WATCH: Airport Time-Lapse Video From Swiss Airlines,TRAVEL,Emi Boscamp,2013-08-10
https://www.huffingtonpost.com/entry/cold-war-museum-plan-prom_us_5b9c3271e4b03a1dcc7d0448,Cold War Museum At Berlin's Checkpoint Charlie Prompts Discussion Over City's Past (PHOTOS),THE WORLDPOST,"Reuters, Reuters",2012-08-28
https://www.huffingtonpost.com/entry/change-how-you-travel-in-2013_us_5b9cae10e4b03a1dcc80d2b6,Change How You Travel In 2013,TRAVEL,"Crawford Hill, Contributor
Educator, CEO of Chill Expeditions",2013-01-04
https://www.huffingtonpost.com/entry/moroccos-majestic-coastal_us_5b9dbeb2e4b03a1dcc8c5ed0,Morocco's Majestic Coastal Road,ENVIRONMENT,"Karen Loftus , Contributor
Travel, Luxury Lifestyle & Adventure Writer, Global Photograph...",2014-01-02
https://www.huffingtonpost.com/entry/best-of-ireland_us_5b9d539ae4b03a1dcc86af77,Ireland's 10 Best Attractions,TRAVEL,"Budget Travel, Contributor
Your source for vacation inspiration, travel deals, and expert...",2013-07-22
https://www.huffingtonpost.com/entry/dreaming-of-my-2014-travels_us_5b9dfabce4b03a1dcc8fcfe5,Dreaming of My 2014 Travels: Cinque Terre,TRAVEL,"Rick Steves, Contributor
Contributor",2014-04-10
https://www.huffingtonpost.com/entry/trend-watch-the-rise-of-i_us_5b9d4501e4b03a1dcc862558,Trend Watch: The Rise of Immersive Role-Play Games,WELLNESS,"MiniTime, Contributor
MiniTime is the first family travel site with personalized rec...",2013-06-18
https://www.huffingtonpost.com/entry/yoga-destinations_us_5b9d98cee4b03a1dcc89f8c7,5 Hip and Cool Yoga Destinations,WELLNESS,"Alison Lewis, Contributor
Founder and Editor-in-Chief, Healthy Travel",2013-10-19
https://www.huffingtonpost.com/entry/air-travel-pundit-confess_us_5b9b67e8e4b03a1dcc774821,Air Travel Pundit Confession: Why I'd Rather Cruise Than Fly Any Day,TRAVEL,"George Hobica, Contributor
Syndicated travel writer and founder, Airfarewatchdog.com",2012-03-10
https://www.huffingtonpost.com/entry/albuquerque-balloon-festival_us_5b9da04ce4b03a1dcc8a6d4b,Watch This Hypnotic Timelapse of Albuquerque's Balloon Festival,WEIRD NEWS,"Roadtrippers, Contributor
Travel local.",2013-11-01
https://www.huffingtonpost.com/entry/travel-booking-site-secrets_us_57745e00e4b0cc0fa1367cd1,5 Travel Booking Secrets That Will Help You Score Cheaper Flights,TRAVEL,Carla Herreria,2016-06-30
https://www.huffingtonpost.com/entry/why-the-kony-2012-campaig_us_5b9b6f8de4b03a1dcc7787d2,"Why The ""Kony 2012"" Campaign Should Make Travelers Uncomfortable",TRAVEL,"Steve Bramucci, Contributor
Travel Writer",2012-03-13
https://www.huffingtonpost.com/entry/remembering_us_5b9c97cfe4b03a1dcc801f77,Remembering a Soldier's Face,IMPACT,"Helen Davey, Ph.D., Contributor
Dr. Helen Davey is a psychoanalyst and psychotherapist in Los ...",2012-12-07
https://www.huffingtonpost.com/entry/to-do-list_us_5b9bac04e4b03a1dcc798100,You Don't Have to Do it All,PARENTING,"Jinny S.Ditzler, Contributor
Author, 'Your Best Year Yet!' and founder of Best Year Yet",2012-05-08
https://www.huffingtonpost.com/entry/public-health_us_5b9b948de4b03a1dcc78ca38,The $2 Trillion Question,WELLNESS,"Dr. Cindy Haines, Contributor
Chief Medical Officer, HealthDay News",2012-04-24
https://www.huffingtonpost.com/entry/folic-acid-cancer-high-doses_us_5b9cc18de4b03a1dcc818f33,Folic Acid And Cancer: High Doses Of The B Vitamin Don't Raise Cancer Risk,WELLNESS,"Reuters, Reuters",2013-01-28
https://www.huffingtonpost.com/entry/mandela_us_5b9db841e4b03a1dcc8bf507,Change One Thing and Everything Changes: Mandela's Lesson,IMPACT,"Paul Spector MD, Contributor
Health consultant and writer specializing in prevention and ag...",2013-12-17
https://www.huffingtonpost.com/entry/three-ways-to-deal-with-t_us_5b9dd75ae4b03a1dcc8da250,Three Ways to Deal With the Poison Person,IMPACT,"Lisa Earle McLeod, Contributor
Creator of Noble Purpose in business concept",2014-02-21
https://www.huffingtonpost.com/entry/may-cause-miracles_us_5b9c3189e4b03a1dcc7cfcef,May Cause Miracles: Interview With Latham Thomas (VIDEO),SCIENCE,"Gabrielle Bernstein, Contributor
Speaker, Author of Add More ~ing to Your Life, Spirit Junkie a...",2012-08-31
https://www.huffingtonpost.com/entry/tea-health-benefits_us_5b9d4d2be4b03a1dcc866e19,6 Amazing Benefits of Tea,FOOD & DRINK,"Kristin Kirkpatrick, MS, RDN , Contributor
Nutrition Team Lead for the Cleveland Clinic Wellness Institute",2013-06-30
https://www.huffingtonpost.com/entry/success-and-motivation_us_5b9da633e4b03a1dcc8acb15,Why Do We Work So Hard?,WELLNESS,"Gayle Hilgendorff, Contributor
Author, speaker, coach, founder The Healthy Leader",2013-11-08
https://www.huffingtonpost.com/entry/addiction-and-recovery_us_5b9dd14ae4b03a1dcc8d3e1b,'Recovering Alcoholic': Words That Stigmatize or Empower?,RELIGION,"Joseph Nowinski, Ph.D., Contributor
Clinical psychologist",2014-02-04
https://www.huffingtonpost.com/entry/breast-cancer-mastectomy_us_5b9c6a74e4b03a1dcc7e784d,Why a Mastectomy Was the Best Choice for Me,FIFTY,"Amy Curran Baker, Contributor
Author, 'Now What? A Patient's Guide to Recovery After Masectomy'",2012-10-21
https://www.huffingtonpost.com/entry/being-stressed-out_us_5b9df53fe4b03a1dcc8f7f41,How To Be The Most Stressed Out Person You Know,WELLNESS,Lindsay Holmes,2014-04-03
https://www.huffingtonpost.com/entry/winter-road-races_us_5b9ddd18e4b03a1dcc8de332,7 Wacky Races We're Dying to Try,WEDDINGS,"SELF, Contributor
SELF - Conde Nast",2014-02-28
https://www.huffingtonpost.com/entry/all-creatures-great-and-s_us_5b9de73ae4b03a1dcc8e6c7e,All Creatures Great and Small: A Lesson in Mourning,ENVIRONMENT,"Helen Davey, Ph.D., Contributor
Dr. Helen Davey is a psychoanalyst and psychotherapist in Los ...",2014-02-28
https://www.huffingtonpost.com/entry/change-your-life_us_5b9d7464e4b03a1dcc883385,3 Things to Do Now to Change Your Health and Life for Good,WELLNESS,"Vyda Bielkus, Contributor
Co-Founder & CEO, Health Yoga Life, www.healthyogalife.com",2013-08-22
